epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,6576.51,1.33693,0.88031,1.2427,0.69667,0.45567,0.4695,0.28253,1.4183,0.83928,1.34774,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6693.62,1.33666,0.8893,1.23825,0.7333,0.44951,0.47345,0.28502,1.42099,0.83862,1.35096,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6800.03,1.32587,0.87298,1.23386,0.74476,0.44704,0.47491,0.28746,1.42172,0.83644,1.35127,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6901.24,1.31941,0.88036,1.22883,0.71425,0.46722,0.47121,0.28542,1.42258,0.83325,1.35235,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,7003.46,1.32544,0.87031,1.23443,0.70871,0.46662,0.46978,0.28619,1.42396,0.83299,1.3531,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7108.66,1.3157,0.86532,1.22845,0.71647,0.45318,0.47573,0.29058,1.42372,0.83155,1.35197,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,7209.07,1.30983,0.86062,1.2255,0.6891,0.47069,0.4727,0.28943,1.42548,0.83091,1.35292,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7315.09,1.31035,0.86095,1.22817,0.68945,0.47766,0.47413,0.29045,1.42451,0.83012,1.35281,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7428.1,1.30354,0.8529,1.22875,0.70636,0.47859,0.47763,0.2921,1.42558,0.82945,1.35465,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7535.81,1.29708,0.84289,1.21913,0.69734,0.48186,0.47562,0.29234,1.42624,0.82845,1.35431,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,7646.5,1.29658,0.84668,1.22196,0.70369,0.4738,0.47563,0.29312,1.42704,0.82639,1.35426,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7757.37,1.28303,0.83037,1.20923,0.78011,0.43038,0.47631,0.2941,1.42784,0.82586,1.35484,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7867.42,1.28837,0.83399,1.21467,0.7019,0.47264,0.47676,0.29396,1.42832,0.82479,1.35476,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,7974.78,1.27891,0.81807,1.20832,0.70223,0.47319,0.47834,0.29485,1.42901,0.82452,1.35526,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8084.48,1.27538,0.81648,1.20697,0.71152,0.47045,0.48011,0.29545,1.42995,0.82364,1.35617,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,8197.04,1.27146,0.81065,1.20497,0.71955,0.47095,0.48029,0.29521,1.43137,0.82408,1.35719,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,8305.03,1.26436,0.80894,1.20262,0.72568,0.46879,0.4819,0.29451,1.43264,0.82325,1.35821,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,8417.38,1.26156,0.80351,1.19828,0.71705,0.472,0.48181,0.29406,1.43336,0.82316,1.35892,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,8524.28,1.25595,0.79955,1.19923,0.73104,0.46587,0.48276,0.29337,1.43434,0.82272,1.35961,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,8635.71,1.24983,0.79159,1.19397,0.74191,0.45693,0.48099,0.29191,1.43504,0.8215,1.35958,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,8746.32,1.25345,0.79145,1.19435,0.74399,0.45591,0.48149,0.29203,1.43609,0.82153,1.36025,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,8853.98,1.23706,0.77624,1.18555,0.75091,0.45426,0.48328,0.29326,1.43661,0.82068,1.36039,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,8968.36,1.22909,0.77594,1.18019,0.75827,0.44862,0.48332,0.29468,1.4375,0.81974,1.36058,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,9076.13,1.22989,0.77817,1.1869,0.75739,0.4497,0.48346,0.29379,1.43862,0.81951,1.36089,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,9186.29,1.22339,0.77302,1.18342,0.75652,0.45003,0.48294,0.29409,1.43967,0.81926,1.36144,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,9295.45,1.21221,0.76221,1.17949,0.75818,0.44748,0.48308,0.29343,1.44081,0.81887,1.36215,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,9401.26,1.21516,0.75682,1.1771,0.75636,0.44523,0.48144,0.2931,1.44188,0.81874,1.36297,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,9513.99,1.20996,0.75608,1.17586,0.75563,0.44552,0.48581,0.29462,1.44259,0.81837,1.3637,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,9623.54,1.2025,0.7455,1.1691,0.7517,0.44571,0.48364,0.29346,1.44305,0.81785,1.3644,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,9724.79,1.19546,0.74173,1.17066,0.75364,0.44553,0.48427,0.29376,1.44412,0.81766,1.36548,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,9823.74,1.19347,0.74071,1.1646,0.7531,0.44528,0.48438,0.29394,1.44531,0.81682,1.36642,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,9923.05,1.18463,0.73229,1.15961,0.76047,0.44664,0.48526,0.29345,1.44622,0.81695,1.36701,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,10021,1.14944,0.63989,1.17358,0.74958,0.44531,0.48338,0.29269,1.44766,0.81759,1.36831,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,10119.7,1.1271,0.61436,1.16064,0.74592,0.44552,0.48309,0.29276,1.44906,0.81758,1.36936,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,10218.3,1.11121,0.60514,1.15065,0.74562,0.44819,0.48283,0.29345,1.45027,0.81774,1.37029,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,10314.8,1.09876,0.59375,1.14738,0.73486,0.44983,0.48103,0.29247,1.45137,0.81764,1.37116,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,10423.6,1.0938,0.59212,1.145,0.73504,0.45541,0.48098,0.29185,1.4526,0.81725,1.37233,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,10534.2,1.07992,0.58094,1.13445,0.73186,0.45413,0.47959,0.29094,1.45382,0.81785,1.37332,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,10648.4,1.07189,0.57781,1.13396,0.70009,0.47746,0.47812,0.28995,1.4557,0.81825,1.37478,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,10759.8,1.0658,0.57257,1.12654,0.70196,0.47267,0.47706,0.28952,1.45676,0.81766,1.37563,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,10873,1.05487,0.56713,1.1245,0.70825,0.46939,0.47716,0.28985,1.4577,0.81805,1.37677,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,10986.6,1.05268,0.56231,1.11878,0.70188,0.47381,0.47414,0.28787,1.45878,0.81871,1.37768,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
